dataset,apnea type,excerpt,try1,try2,try3,3/26 notes,# osa,# osahs,# other,accuracy,"# pos, # neg sequences (asterisk means predicting all 0s)",timesteps,epochs,batch size,threshold
dreams,apnea,nt_excerpt1,,,,,,,,90.91,,120,10,16,0.7
dreams,apnea,osa_excerpt1,"Dataset: dreams, Excerpt: osa_excerpt1
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.97      0.91      0.94        34
           0       0.97      0.99      0.98       112

    accuracy                           0.97       146
   macro avg       0.97      0.95      0.96       146
weighted avg       0.97      0.97      0.97       146
 
 TP: 31
 TN: 111
 FP: 1
 FN: 3",,,,194,,9,96,"192+,567-",120,10,16,0.7
dreams,apnea,osa_excerpt2,X,,,,66,,1,X,"65+,592- *",120,10,16,0.7
dreams,apnea,osa_excerpt3,"Results: 
               precision    recall  f1-score   support

           1       0.86      0.90      0.88        60
           0       0.95      0.93      0.94       136

    accuracy                           0.92       196
   macro avg       0.91      0.92      0.91       196
weighted avg       0.92      0.92      0.92       196",,,,340,,0,98.03,"339+,694-",120,10,16,0.7
dreams,apnea,osa_excerpt4,,,,,389,,1,89.09,"387+,426-",120,10,16,0.7
dreams,apnea,osa_excerpt5,,,,,350,,161,92.63,"350+,278-",120,10,16,0.7
dreams,apnea,osa_excerpt6,,,,,66,,0,X,"65+,891- *",120,10,16,0.7
dreams,apnea,osa_excerpt7,,,,,209,,10,96,"208+,342-",120,10,16,0.7
dreams,apnea,osa_excerpt8,,,,,39,,0,X,"38+,766- *",120,10,16,0.7
dreams,apnea,osa_excerpt9,,,,,128,,0,96,"127+,899-",120,10,16,0.7
dreams,hypopnea,osahs_excerpt1,"Dataset: dreams, Excerpt: osahs_excerpt1
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.85      0.67      0.75        49
           0       0.90      0.96      0.93       143

    accuracy                           0.89       192
   macro avg       0.87      0.82      0.84       192
weighted avg       0.88      0.89      0.88       192
 
 TP: 33
 TN: 137
 FP: 6
 FN: 16",,,improved after adding Dense and Dropout layer to LSTM,,249,,92.12,"249+,717-",160,10,16,0.7
dreams,hypopnea,osahs_excerpt2,"Dataset: dreams, Excerpt: osahs_excerpt2
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.00      0.00      0.00         7
           0       0.94      1.00      0.97       117

    accuracy                           0.94       124
   macro avg       0.47      0.50      0.49       124
weighted avg       0.89      0.94      0.92       124
 
 TP: 0
 TN: 117
 FP: 0
 FN: 7
********************************************************",,,"Overfitting (train accuracy ~ 93% but always predict 0 on test data with >95% confidence.)
",,47,,X,"46+,592- *",160,10,16,0.7
dreams,hypopnea,osahs_excerpt3,x,,,Overfitting,,38,,X,"37+,63- *",160,10,16,0.7
dreams,hypopnea,osahs_excerpt4,"Dataset: dreams, Excerpt: osahs_excerpt4
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.00      0.00      0.00        66
           0       0.56      1.00      0.72        85

    accuracy                           0.56       151
   macro avg       0.28      0.50      0.36       151
weighted avg       0.32      0.56      0.41       151
 
 TP: 0
 TN: 85
 FP: 0
 FN: 66
********************************************************",,,"train loss stays high (0.6), train accuracy stays at~0.65. Try train 5 epochs, bs = 4 -> loss plateaus at 0.67, training acc = 0.5. Confidence: 50% throughout",,333,,X,"332+,426- *",160,10,16,0.7
dreams,hypopnea,osahs_excerpt5,"Dataset: dreams, Excerpt: osahs_excerpt5
********************************************************
Results: 
               precision    recall  f1-score   support

           1       1.00      0.03      0.05        37
           0       0.60      1.00      0.75        55

    accuracy                           0.61        92
   macro avg       0.80      0.51      0.40        92
weighted avg       0.76      0.61      0.47        92
 
 TP: 1
 TN: 55
 FP: 0
 FN: 36
************************","****** 2 hidden layers, 128 neurons per layer      
       Dataset: dreams, Excerpt: osahs_excerpt5
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.96      0.65      0.77        37
           0       0.81      0.98      0.89        55

    accuracy                           0.85        92
   macro avg       0.88      0.82      0.83        92
weighted avg       0.87      0.85      0.84        92
 
 TP: 24
 TN: 54
 FP: 1
 FN: 13",,"189+,278-. Train epoch: 10,  Works well with batch size = 1 (SGD) . Train loss (0.52), Train accuracy (0.78)  (previously the prediction was all 0s)",,189,,X,"189+,278-",160,10,16,0.7
dreams,hypopnea,osahs_excerpt6,"Dataset: dreams, Excerpt: osahs_excerpt6
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.00      0.00      0.00        30
           0       0.86      1.00      0.92       178

    accuracy                           0.86       208
   macro avg       0.43      0.50      0.46       208
weighted avg       0.73      0.86      0.79       208
 
 TP: 0
 TN: 178
 FP: 0
 FN: 30 (all zeros)
********************************************************",,,"150+,891-. train loss:0.45, train acc: 0.85, Predict all 0s",,151,,X,"150+,891- *",160,10,16,0.7
