OnSet,Duration,Notation
128.900,13.300,FlatLine
224.900,20.400,FlatLine
261.600,13.200,FlatLine
290.200,13.000,FlatLine
315.800,14.400,FlatLine
341.100,17.000,FlatLine
368.400,18.500,FlatLine
398.700,14.900,FlatLine
427.600,12.600,FlatLine
455.800,16.400,FlatLine
483.600,13.700,FlatLine
508.200,19.100,FlatLine
541.800,12.100,FlatLine
563.300,19.900,FlatLine
594.600,16.900,FlatLine
622.800,13.900,FlatLine
671.300,18.300,FlatLine
702.100,12.300,FlatLine
724.200,18.500,FlatLine
758.700,13.800,FlatLine
786.000,13.500,FlatLine
813.600,13.400,FlatLine
847.100,13.600,FlatLine
873.100,12.900,FlatLine
895.100,15.800,FlatLine
927.800,15.100,FlatLine
957.700,12.400,FlatLine
985.200,12.000,FlatLine
1015.000,11.200,FlatLine
1061.000,13.100,FlatLine
1083.700,17.200,FlatLine
1123.500,10.800,FlatLine
1145.500,18.400,FlatLine
1174.800,20.200,FlatLine
1207.600,15.200,FlatLine
1230.600,18.900,FlatLine
1265.100,14.600,FlatLine
1290.300,18.500,FlatLine
1318.900,16.800,FlatLine
1344.100,17.500,FlatLine
1373.700,18.600,FlatLine
1403.000,15.300,FlatLine
1432.400,14.000,FlatLine
1462.200,13.700,FlatLine
1487.700,19.400,FlatLine
1518.800,17.100,FlatLine
1546.500,16.600,FlatLine
1571.400,16.900,FlatLine
1599.100,13.100,FlatLine
1623.600,14.700,FlatLine
1684.100,14.700,FlatLine
1721.000,16.100,FlatLine
1746.900,13.600,FlatLine
1770.000,15.300,FlatLine
1799.400,14.800,FlatLine
1826.400,16.400,FlatLine
1856.700,16.000,FlatLine
1883.100,17.800,FlatLine
1909.400,17.400,FlatLine
1938.300,17.600,FlatLine
1967.700,15.100,FlatLine
1994.600,16.200,FlatLine
2020.700,17.300,FlatLine
2049.500,16.800,FlatLine
2083.400,12.100,FlatLine
2109.500,15.900,FlatLine
2162.400,15.500,FlatLine
2207.600,19.300,FlatLine
2243.100,19.300,FlatLine
2280.300,11.600,FlatLine
2309.900,16.700,FlatLine
2340.000,18.800,FlatLine
2372.100,20.300,FlatLine
2404.800,21.100,FlatLine
2440.000,18.400,FlatLine
2471.800,20.400,FlatLine
2510.700,15.300,FlatLine
2535.000,20.200,FlatLine
2572.100,15.500,FlatLine
2597.700,19.500,FlatLine
2652.500,18.100,FlatLine
2682.600,17.500,FlatLine
2716.200,14.300,FlatLine
2743.000,10.700,FlatLine
2765.200,14.300,FlatLine
2788.500,19.400,FlatLine
2838.400,18.900,FlatLine
2869.800,16.100,FlatLine
2897.700,17.600,FlatLine
2927.800,16.400,FlatLine
2962.800,12.100,FlatLine
2993.100,17.100,FlatLine
3022.900,20.300,FlatLine
3054.000,15.600,FlatLine
3078.900,17.100,FlatLine
3114.600,16.400,FlatLine
3142.400,18.500,FlatLine
3176.100,10.900,FlatLine
3195.700,15.300,FlatLine
3225.200,15.800,FlatLine
3261.300,16.300,FlatLine
3288.200,13.300,FlatLine
3310.400,19.400,FlatLine
3343.200,14.700,FlatLine
3372.700,17.600,FlatLine
3405.100,19.000,FlatLine
3437.800,15.700,FlatLine
3462.000,19.600,FlatLine
3498.700,15.100,FlatLine
3526.500,18.500,FlatLine
3555.100,21.600,FlatLine
3592.600,19.100,FlatLine
3644.700,18.000,FlatLine
3676.900,20.100,FlatLine
3711.200,15.900,FlatLine
3781.600,16.400,FlatLine
3831.200,19.400,FlatLine
3864.500,16.800,FlatLine
3888.100,21.200,FlatLine
3943.500,20.900,FlatLine
4001.600,19.000,FlatLine
4036.600,11.600,FlatLine
4060.800,17.200,FlatLine
4092.500,15.700,FlatLine
4117.100,19.700,FlatLine
4146.100,15.900,FlatLine
4170.800,12.800,FlatLine
4194.100,17.800,FlatLine
4229.900,10.700,FlatLine
4253.300,14.400,FlatLine
4279.100,14.600,FlatLine
4310.900,13.500,FlatLine
4338.900,17.900,FlatLine
4370.300,14.600,FlatLine
4397.200,12.400,FlatLine
4418.600,17.600,FlatLine
4451.100,18.800,FlatLine
4486.200,12.100,FlatLine
4517.800,28.200,FlatLine
4556.800,29.700,FlatLine
4601.200,24.900,FlatLine
4643.300,29.100,FlatLine
4720.200,12.000,FlatLine
4750.100,27.200,FlatLine
4796.600,33.100,FlatLine
4858.000,10.500,FlatLine
4869.800,15.000,FlatLine
4891.100,28.100,FlatLine
4929.700,27.400,FlatLine
4967.000,33.500,FlatLine
5018.200,31.200,FlatLine
5065.800,25.500,FlatLine
5118.500,29.500,FlatLine
5156.600,35.100,FlatLine
5211.500,26.500,FlatLine
5248.300,20.800,FlatLine
5290.400,31.700,FlatLine
5348.200,20.000,FlatLine
5380.700,24.900,FlatLine
5418.900,23.400,FlatLine
5451.600,23.900,FlatLine
5485.000,28.100,FlatLine
5528.600,27.400,FlatLine
5571.200,30.500,FlatLine
5616.400,28.700,FlatLine
5663.900,20.200,FlatLine
5701.400,25.100,FlatLine
5742.000,25.000,FlatLine
5776.400,23.300,FlatLine
5814.200,25.000,FlatLine
5857.100,18.000,FlatLine
5888.800,23.800,FlatLine
5928.200,22.100,FlatLine
5958.800,22.600,FlatLine
5992.100,28.800,FlatLine
6037.600,21.700,FlatLine
6075.000,17.700,FlatLine
6104.500,18.800,FlatLine
6207.200,14.300,FlatLine
6253.700,16.700,FlatLine
6284.200,24.900,FlatLine
6328.500,16.900,FlatLine
6362.200,20.400,FlatLine
6397.600,25.000,FlatLine
6492.600,12.300,FlatLine
6621.700,17.400,FlatLine
7311.800,10.100,FlatLine
7357.800,10.400,FlatLine
7381.000,14.900,FlatLine
7419.000,12.100,FlatLine
7444.000,14.500,FlatLine
9310.900,730.900,FlatLine
10554.400,18.600,FlatLine
10659.000,17.500,FlatLine
10722.900,10.400,FlatLine
10754.500,14.300,FlatLine
10785.800,11.300,FlatLine
10823.500,18.300,FlatLine
10873.900,21.900,FlatLine
10907.600,16.400,FlatLine
11419.500,13.800,FlatLine
11446.600,11.300,FlatLine
11461.400,13.100,FlatLine
11481.900,20.500,FlatLine
11509.800,19.600,FlatLine
11555.400,13.100,FlatLine
11580.400,17.700,FlatLine
11630.100,17.600,FlatLine
11659.500,18.300,FlatLine
11691.800,17.900,FlatLine
11736.000,12.800,FlatLine
11763.900,15.000,FlatLine
11795.100,10.300,FlatLine
11817.100,18.000,FlatLine
11851.700,15.000,FlatLine
11880.700,18.200,FlatLine
11907.900,17.800,FlatLine
11943.100,16.700,FlatLine
11972.000,17.600,FlatLine
12002.100,17.500,FlatLine
12036.100,15.400,FlatLine
12066.900,11.500,FlatLine
12086.800,10.800,FlatLine
12107.000,17.200,FlatLine
12135.500,15.500,FlatLine
12160.600,22.000,FlatLine
12194.500,17.900,FlatLine
12228.100,12.100,FlatLine
12251.500,19.100,FlatLine
12282.300,19.200,FlatLine
12313.500,13.200,FlatLine
12335.100,21.000,FlatLine
12367.000,20.300,FlatLine
12398.300,15.700,FlatLine
12428.300,19.300,FlatLine
12468.900,14.500,FlatLine
12498.900,14.400,FlatLine
12527.800,17.400,FlatLine
12553.100,21.900,FlatLine
12611.500,21.600,FlatLine
12647.500,17.600,FlatLine
12679.000,16.600,FlatLine
12706.400,17.100,FlatLine
12730.200,20.100,FlatLine
12760.700,19.200,FlatLine
12796.800,17.800,FlatLine
