data,apnea_type,num_pos_train,num_neg_train,precision_1,precision_0,recall_1,recall_0,f1_1,f1_0,num_pos_test,num_neg_test,true_pos,true_neg,false_pos,false_neg
dreams,osa_excerpt1,144,445,0.875,1.0,1.0,0.954954954954955,1.0,0.954954954954955,35,111,35,106,5,0
dreams,osa_excerpt2,52,474,0.0,0.9,0.0,1.0,0.0,1.0,13,117,0,117,0,13
dreams,osa_excerpt3,266,555,0.9672131147540983,0.9507042253521126,0.8939393939393939,0.9854014598540146,0.8939393939393939,0.9854014598540146,66,137,59,135,2,7
dreams,osa_excerpt4,143,340,0.8571428571428571,0.8645833333333334,0.48,0.9764705882352941,0.48,0.9764705882352941,25,85,12,83,2,13
dreams,osa_excerpt5,271,223,0.9206349206349206,0.847457627118644,0.8656716417910447,0.9090909090909091,0.8656716417910447,0.9090909090909091,67,55,58,50,5,9
dreams,osa_excerpt6,49,712,0.0,0.9368421052631579,0.0,1.0,0.0,1.0,12,178,0,178,0,12
dreams,osa_excerpt6,49,712,0.0,0.9368421052631579,0.0,1.0,0.0,1.0,12,178,0,178,0,12
dreams,osa_excerpt7,154,274,0.8260869565217391,1.0,1.0,0.8823529411764706,1.0,0.8823529411764706,38,68,38,60,8,0
dreams,osa_excerpt8,30,612,0.0,0.95625,0.0,1.0,0.0,1.0,7,153,0,153,0,7
dreams,osa_excerpt9,97,719,1.0,0.9675675675675676,0.76,1.0,0.76,1.0,25,179,19,179,0,6
dreams,osa_excerpt1,144,445,0.9642857142857143,0.9322033898305084,0.7714285714285715,0.990990990990991,0.7714285714285715,0.990990990990991,35,111,27,110,1,8
dreams,osa_excerpt1,144,445,0.9142857142857143,0.972972972972973,0.9142857142857143,0.972972972972973,0.9142857142857143,0.972972972972973,35,111,32,108,3,3
dreams,osa_excerpt1,144,445,0.9142857142857143,0.972972972972973,0.9142857142857143,0.972972972972973,0.9142857142857143,0.972972972972973,35,111,32,108,3,3
dublin,all_ucddb2,97,226,0.0,0.7,0.0,1.0,0.0,1.0,24,56,0,56,0,24
dublin,all_ucddb,239,321,0.8823529411764706,0.7238095238095238,0.5084745762711864,0.95,0.5084745762711864,0.95,59,80,30,76,4,29
dublin,all_ucddb,44,200,0.0,0.8166666666666667,0.0,1.0,0.0,1.0,11,49,0,49,0,11
dublin,all_ucddb3,239,321,0.9166666666666666,0.7475728155339806,0.559322033898305,0.9625,0.559322033898305,0.9625,59,80,33,77,3,26
dublin,all_ucddb5,44,200,0.0,0.8166666666666667,0.0,1.0,0.0,1.0,11,49,0,49,0,11
dublin,all_ucddb7,58,396,1.0,0.8909090909090909,0.14285714285714285,1.0,0.14285714285714285,1.0,14,98,2,98,0,12
dublin,all_ucddb9,59,476,0.0,0.8872180451127819,0.0,1.0,0.0,1.0,15,118,0,118,0,15
dublin,all_ucddb10,143,365,0.0,0.7222222222222222,0.0,1.0,0.0,1.0,35,91,0,91,0,35
dublin,all_ucddb11,28,174,0.0,0.8775510204081632,0.0,1.0,0.0,1.0,6,43,0,43,0,6
dublin,all_ucddb12,121,360,0.9375,0.8557692307692307,0.5,0.9888888888888889,0.5,0.9888888888888889,30,90,15,89,1,15
dublin,all_ucddb14,143,383,0.0,0.7230769230769231,0.0,0.9894736842105263,0.0,0.9894736842105263,36,95,0,94,1,36
dublin,all_ucddb19,72,371,0.8571428571428571,0.8666666666666667,0.3,0.9891304347826086,0.3,0.9891304347826086,20,92,6,91,1,14
dreams,osa_excerpt1,144,445,1.0,0.8222222222222222,0.3142857142857143,1.0,0.3142857142857143,1.0,35,111,11,111,0,24
dreams,osa_excerpt1,144,445,0.0,0.7602739726027398,0.0,1.0,0.0,1.0,35,111,0,111,0,35
dreams,osa_excerpt1,144,445,0.0,0.7602739726027398,0.0,1.0,0.0,1.0,35,111,0,111,0,35
dreams,osa_excerpt1,144,445,0.0,0.7602739726027398,0.0,1.0,0.0,1.0,35,111,0,111,0,35
dreams,osa_excerpt1,144,445,1.0,0.8102189781021898,0.2571428571428571,1.0,0.2571428571428571,1.0,35,111,9,111,0,26
dreams,osa_excerpt1,144,445,0.0,0.7602739726027398,0.0,1.0,0.0,1.0,35,111,0,111,0,35
dreams,osa_excerpt1,144,445,0.8275862068965517,0.905982905982906,0.6857142857142857,0.954954954954955,0.6857142857142857,0.954954954954955,35,111,24,106,5,11
dreams,osa_excerpt1,144,445,1.0,0.8161764705882353,0.2857142857142857,1.0,0.2857142857142857,1.0,35,111,10,111,0,25
dreams,osa_excerpt2,52,474,0.0,0.9,0.0,1.0,0.0,1.0,13,117,0,117,0,13
dreams,osa_excerpt3,266,555,0.7916666666666666,0.9312977099236641,0.8636363636363636,0.8905109489051095,0.8636363636363636,0.8905109489051095,66,137,57,122,15,9
dreams,osa_excerpt4,143,340,0.0,0.7727272727272727,0.0,1.0,0.0,1.0,25,85,0,85,0,25
dreams,osa_excerpt1,144,445,0.0,0.7602739726027398,0.0,1.0,0.0,1.0,35,111,0,111,0,35
dreams,osa_excerpt1,144,445,1.0,0.7928571428571428,0.17142857142857143,1.0,0.17142857142857143,1.0,35,111,6,111,0,29
dreams,osa_excerpt1,144,445,0.0,0.7602739726027398,0.0,1.0,0.0,1.0,35,111,0,111,0,35
dreams,osa_excerpt2,52,474,0.0,0.9,0.0,1.0,0.0,1.0,13,117,0,117,0,13
dreams,osa_excerpt3,266,555,0.9347826086956522,0.8535031847133758,0.6515151515151515,0.9781021897810219,0.6515151515151515,0.9781021897810219,66,137,43,134,3,23
dreams,osa_excerpt1,144,445,0.0,0.7602739726027398,0.0,1.0,0.0,1.0,35,111,0,111,0,35
dreams,osa_excerpt1,144,445,0.8846153846153846,0.9,0.6571428571428571,0.972972972972973,0.6571428571428571,0.972972972972973,35,111,23,108,3,12
dreams,osa_excerpt2,52,474,0.0,0.9,0.0,1.0,0.0,1.0,13,117,0,117,0,13
